accidental,letter,octave,row,col,colour
#,D,3,1,1,black
b,D,3,2,0.5,black
,D,3,3,1,white
#,D,3,4,1.5,black
b,D,3,5,1,black
b,E,3,1,1,black
,E,3,2,1.5,white
#,E,3,3,2,white
b,E,3,4,1.5,black
,E,3,5,2,white
#,F,3,1,2,black
b,F,3,2,1.5,white
,F,3,3,2,white
#,F,3,4,2.5,black
b,F,3,5,2,white
b,G,3,1,2,black
,G,3,2,2.5,white
#,G,3,3,3,black
b,G,3,4,2.5,black
,G,3,5,3,white
,A,3,1,3,white
#,A,3,2,3.5,black
b,A,3,3,3,black
,A,3,4,3.5,white
#,A,3,5,4,black
#,B,3,1,4,white
b,B,3,2,3.5,white
,B,3,3,4,white
#,B,3,4,4.5,white
b,B,3,5,4,white
,C,4,1,4,white
#,C,4,2,4.5,black
b,C,4,3,4,white
,C,4,4,4.5,white
#,C,4,5,5,black
#,D,4,1,5,black
b,D,4,2,4.5,black
,D,4,3,5,white
#,D,4,4,5.5,black
b,D,4,5,5,black
b,E,4,1,5,black
,E,4,2,5.5,white
#,E,4,3,6,white
b,E,4,4,5.5,black
,E,4,5,6,white
#,F,4,1,6,black
b,F,4,2,5.5,white
,F,4,3,6,white
#,F,4,4,6.5,black
b,F,4,5,6,white
b,G,4,1,6,black
,G,4,2,6.5,white
#,G,4,3,7,black
b,G,4,4,6.5,black
,G,4,5,7,white
,A,4,1,7,white
#,A,4,2,7.5,black
b,A,4,3,7,black
,A,4,4,7.5,white
#,A,4,5,8,black
#,B,4,1,8,white
b,B,4,2,7.5,black
,B,4,3,8,white
#,B,4,4,8.5,white
b,B,4,5,8,black
,C,5,1,8,white
#,C,5,2,8.5,black
b,C,5,3,8,white
,C,5,4,8.5,white
#,C,5,5,9,black
#,D,5,1,9,black
b,D,5,2,8.5,black
,D,5,3,9,white
#,D,5,4,9.5,black
b,D,5,5,9,black
b,E,5,1,9,black
,E,5,2,9.5,white
#,E,5,3,10,white
b,E,5,4,9.5,black
,E,5,5,10,white
#,F,5,1,10,black
b,F,5,2,9.5,white
,F,5,3,10,white
#,F,5,4,10.5,black
b,F,5,5,10,white
b,G,5,1,10,black
,G,5,2,10.5,white
#,G,5,3,11,black
b,G,5,4,10.5,black
,G,5,5,11,white
,A,5,1,11,white
#,A,5,2,11.5,black
b,A,5,3,11,black
,A,5,4,11.5,white
#,A,5,5,12,black
#,B,5,1,12,white
b,B,5,2,11.5,black
,B,5,3,12,white
#,B,5,4,12.5,white
b,B,5,5,12,black
,C,6,1,12,white
#,C,6,2,12.5,black
b,C,6,3,12,white
,C,6,4,12.5,white
#,C,6,5,13,black
#,D,6,1,13,black
b,D,6,2,12.5,black
,D,6,3,13,white
#,D,6,4,13.5,black
b,D,6,5,13,black
b,E,6,1,13,black
,E,6,2,13.5,white
#,E,6,3,14,white
b,E,6,4,13.5,black
,E,6,5,14,white
#,F,6,1,14,black
b,F,6,2,13.5,white
,F,6,3,14,white
#,F,6,4,14.5,black
b,F,6,5,14,white
b,G,6,1,14,black
,G,6,2,14.5,white
#,G,6,3,15,black
b,G,6,4,14.5,black
,G,6,5,15,white
,A,6,1,15,white
#,A,6,2,15.5,black
b,A,6,3,15,black
,A,6,4,15.5,white
#,A,6,5,16,black
#,B,6,1,16,white
b,B,6,2,15.5,black
,B,6,3,16,white
#,B,6,4,16.5,white
b,B,6,5,16,black
,C,7,1,16,white
#,C,7,2,16.5,black
b,C,7,3,16,white
,C,7,4,16.5,white
#,C,7,5,17,black
#,D,7,1,17,black
b,D,7,2,16.5,black
,D,7,3,17,white
#,D,7,4,17.5,black
b,D,7,5,17,black
b,E,7,1,17,black
,E,7,2,17.5,white
b,E,7,4,17.5,black
,E,7,5,18,white
